timestamp,session,true_angle,distance_m,rep,reported_angle,error,local_gain,n_samples,samples
2026-09-14T16:32:29.688,table125,0.0,1.25,1,0.0,0.0,1.0,7,0 0 0 0 0 0 0
2026-09-14T16:32:56.184,table125,0.0,1.25,2,0.0,0.0,1.0,7,0 0 0 0 0 0 0
2026-09-14T16:33:12.728,table125,0.0,1.25,3,0.0,0.0,1.0,7,0 0 0 0 0 0 0
2026-09-14T16:33:44.824,table125,30.0,1.25,1,25.0,-5.0,1.0833,7,24 26 26 26 24 25 24
2026-09-14T16:34:02.952,table125,30.0,1.25,2,26.0,-4.0,1.0667,7,29 28 26 26 26 26 27
2026-09-14T16:34:17.881,table125,30.0,1.25,3,23.0,-7.0,1.1167,7,27 25 16 17 17 26 23
2026-09-14T16:34:51.945,table125,45.0,1.25,1,49.0,4.0,0.9111,7,48 48 49 49 49 48 49
2026-09-14T16:34:59.993,table125,45.0,1.25,2,51.0,6.0,0.8667,7,51 51 51 50 50 51 51
2026-09-14T16:35:09.113,table125,45.0,1.25,3,50.0,5.0,0.8889,7,49 49 49 50 50 50 50
2026-09-14T16:35:43.930,table125,90.0,1.25,1,90.0,0.0,,7,90 90 90 90 90 90 90
2026-09-14T16:35:59.785,table125,90.0,1.25,2,90.0,0.0,,7,90 90 90 90 90 90 90
2026-09-14T16:36:10.489,table125,90.0,1.25,3,90.0,0.0,,7,90 90 90 90 90 90 90
2026-09-14T16:36:54.666,table125,135.0,1.25,1,133.0,-2.0,0.9556,7,133 134 134 133 133 132 131
2026-09-14T16:37:10.842,table125,135.0,1.25,2,133.0,-2.0,0.9556,7,133 134 135 135 133 133 132
2026-09-14T16:37:23.594,table125,135.0,1.25,3,135.0,0.0,1.0,7,135 135 135 135 135 134 135
2026-09-14T16:37:58.170,table125,150.0,1.25,1,149.0,-1.0,0.9833,7,148 149 150 149 149 149 151
2026-09-14T16:38:07.835,table125,150.0,1.25,2,149.0,-1.0,0.9833,7,148 148 148 149 149 149 149
2026-09-14T16:38:19.307,table125,150.0,1.25,3,149.0,-1.0,0.9833,7,149 150 149 149 149 149 149
2026-09-14T16:38:46.235,table125,180.0,1.25,1,180.0,0.0,1.0,7,180 180 180 180 180 180 180
2026-09-14T16:38:56.475,table125,180.0,1.25,2,180.0,0.0,1.0,7,180 180 180 180 180 180 180
2026-09-14T16:39:06.715,table125,180.0,1.25,3,180.0,0.0,1.0,7,180 180 180 180 180 180 180
2026-09-14T16:44:09.422,table125,75.0,1.25,1,79.0,4.0,0.7333,7,79 79 78 79 79 78 78
2026-09-14T16:44:22.317,table125,75.0,1.25,2,78.0,3.0,0.8,7,79 79 78 78 78 78 78
2026-09-14T16:44:31.646,table125,75.0,1.25,3,79.0,4.0,0.7333,7,79 79 78 79 80 80 79
