trial_id,session,timestamp,angle_true,distance_m,noise_condition,rep,playback_start_ts,settle_ts,settle_time_s,settle_from_voice_s,playback_mode,head_heading_at_start,started_at_home,doa_logged_angle,head_heading_at_doa,doa_implied_bearing,servo_target_angle,servo_first_target_angle,n_track_moves,physical_angle_measured,moved,miss,simulated,n_doa_samples,n_servo_commands,cfg_onset_skip_s,cfg_sample_interval_s,cfg_min_samples,cfg_post_move_quiet_s,notes
1,20260909,2026-09-08T15:49:39.883,90.0,0.5,none,1,2026-09-08T15:49:28.606,2026-09-08T15:49:39.883,10.271,3.487,manual,90.0,1,88.0,90.0,88.0,88.0,88.0,1,,1,0,0,6,3,1.5,0.25,3,1.5,
2,20260909,2026-09-08T15:50:00.555,90.0,0.5,none,2,2026-09-08T15:49:52.982,2026-09-08T15:50:00.555,6.538,3.122,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,
3,20260909,2026-09-08T15:50:21.174,90.0,0.5,none,3,2026-09-08T15:50:10.398,2026-09-08T15:50:21.174,9.731,3.378,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,
4,20260909,2026-09-08T15:50:37.842,90.0,0.5,none,4,2026-09-08T15:50:31.074,2026-09-08T15:50:37.842,5.744,3.122,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,
5,20260909,2026-09-08T15:51:03.576,90.0,0.5,none,5,2026-09-08T15:50:56.157,2026-09-08T15:51:03.576,6.39,3.122,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,
6,20260909,2026-09-08T15:52:02.511,90.0,1.25,none,1,2026-09-08T15:51:54.542,2026-09-08T15:52:02.511,6.966,3.378,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,
7,20260909,2026-09-08T15:52:38.362,90.0,1.25,none,2,2026-09-08T15:52:31.594,2026-09-08T15:52:38.362,5.722,3.122,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,
8,20260909,2026-09-08T15:53:05.628,90.0,1.25,none,3,2026-09-08T15:52:58.560,2026-09-08T15:53:05.628,6.053,3.122,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,
9,20260909,2026-09-08T15:53:23.495,90.0,1.25,none,4,2026-09-08T15:53:15.424,2026-09-08T15:53:23.495,7.462,4.402,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,
10,20260909,2026-09-08T15:53:45.364,90.0,1.25,none,5,2026-09-08T15:53:37.343,2026-09-08T15:53:45.364,7.416,4.402,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,
11,20260909,2026-09-08T15:54:50.250,90.0,2.5,none,1,2026-09-08T15:54:45.938,2026-09-08T15:54:50.250,3.287,2.866,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,
12,20260909,2026-09-08T15:55:06.959,90.0,2.5,none,2,2026-09-08T15:55:00.693,2026-09-08T15:55:06.959,5.265,3.487,manual,90.0,1,88.0,90.0,88.0,88.0,88.0,1,,1,0,0,6,3,1.5,0.25,3,1.5,
13,20260909,2026-09-08T15:55:25.857,90.0,2.5,none,3,2026-09-08T15:55:19.740,2026-09-08T15:55:25.857,5.102,3.234,manual,90.0,1,87.0,90.0,87.0,87.0,87.0,1,,1,0,0,6,3,1.5,0.25,3,1.5,
14,20260909,2026-09-08T15:55:50.159,90.0,2.5,none,4,2026-09-08T15:55:39.833,2026-09-08T15:55:50.159,9.313,3.49,manual,90.0,1,87.0,90.0,87.0,87.0,87.0,1,,1,0,0,6,3,1.5,0.25,3,1.5,
15,20260909,2026-09-08T15:56:09.662,90.0,2.5,none,5,2026-09-08T15:56:02.493,2026-09-08T15:56:09.662,6.158,3.234,manual,90.0,1,87.0,90.0,87.0,87.0,87.0,1,,1,0,0,6,3,1.5,0.25,3,1.5,
16,20260909,2026-09-08T15:58:57.541,45.0,0.5,none,1,2026-09-08T15:58:49.170,2026-09-08T15:58:57.541,7.34,3.377,manual,90.0,1,60.0,90.0,60.0,60.0,60.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,
17,20260909,2026-09-08T15:59:24.398,45.0,0.5,none,2,2026-09-08T15:59:16.678,2026-09-08T15:59:24.397,6.695,3.376,manual,90.0,1,60.0,90.0,60.0,60.0,60.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,
18,20260909,2026-09-08T15:59:48.001,45.0,0.5,none,3,2026-09-08T15:59:39.529,2026-09-08T15:59:48.001,7.438,3.384,manual,90.0,1,58.0,90.0,58.0,58.0,58.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,
19,20260909,2026-09-08T16:00:13.101,45.0,0.5,none,4,2026-09-08T16:00:05.130,2026-09-08T16:00:13.100,6.926,3.385,manual,90.0,1,58.0,90.0,58.0,58.0,58.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,
20,20260909,2026-09-08T16:00:40.898,45.0,0.5,none,5,2026-09-08T16:00:32.476,2026-09-08T16:00:40.898,7.376,3.388,manual,90.0,1,57.0,90.0,57.0,57.0,57.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,
21,20260909,2026-09-08T16:04:27.812,135.0,0.5,none,1,2026-09-08T16:04:20.044,2026-09-08T16:04:27.812,6.747,3.393,manual,90.0,1,124.0,90.0,124.0,124.0,124.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,
22,20260909,2026-09-08T16:04:50.787,135.0,0.5,none,2,2026-09-08T16:04:43.567,2026-09-08T16:04:50.787,6.213,3.389,manual,90.0,1,123.0,90.0,123.0,123.0,123.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,
23,20260909,2026-09-08T16:05:12.006,135.0,0.5,none,3,2026-09-08T16:05:04.937,2026-09-08T16:05:12.006,6.027,3.389,manual,90.0,1,123.0,90.0,123.0,123.0,123.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,
24,20260909,2026-09-08T16:05:35.278,135.0,0.5,none,4,2026-09-08T16:05:27.810,2026-09-08T16:05:35.278,6.435,3.389,manual,90.0,1,123.0,90.0,123.0,123.0,123.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,
25,20260909,2026-09-08T16:05:53.147,135.0,0.5,none,5,2026-09-08T16:05:45.477,2026-09-08T16:05:53.147,6.636,3.384,manual,90.0,1,122.0,90.0,122.0,122.0,122.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,
26,20260909,2026-09-09T11:11:02.478,45.0,1.25,none,1,2026-09-09T11:10:54.607,2026-09-09T11:11:02.478,6.865,3.428,manual,90.0,1,50.0,90.0,50.0,50.0,50.0,1,,1,0,0,6,7,1.5,0.25,3,1.5,1.0
27,20260909,2026-09-09T11:11:25.752,45.0,1.25,none,2,2026-09-09T11:11:17.581,2026-09-09T11:11:25.752,7.137,3.666,manual,90.0,1,52.0,90.0,52.0,52.0,52.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
28,20260909,2026-09-09T11:12:14.571,45.0,1.25,none,3,2026-09-09T11:11:59.233,2026-09-09T11:12:14.571,14.314,3.662,manual,90.0,1,53.0,90.0,53.0,53.0,53.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
29,20260909,2026-09-09T11:13:05.755,45.0,1.25,none,4,2026-09-09T11:12:57.384,2026-09-09T11:13:05.755,7.34,3.67,manual,90.0,1,51.0,90.0,51.0,51.0,51.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
30,20260909,2026-09-09T11:13:29.050,45.0,1.25,none,5,2026-09-09T11:13:19.876,2026-09-09T11:13:29.050,8.129,3.67,manual,90.0,1,51.0,90.0,51.0,51.0,51.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
31,20260909,2026-09-09T11:15:32.610,45.0,2.5,none,1,2026-09-09T11:15:23.635,2026-09-09T11:15:32.610,7.924,3.687,manual,90.0,1,49.0,90.0,49.0,49.0,49.0,1,,1,0,0,6,7,1.5,0.25,3,1.5,1.0
32,20260909,2026-09-09T11:16:11.197,45.0,2.5,none,2,2026-09-09T11:16:02.374,2026-09-09T11:16:11.197,7.784,3.405,manual,90.0,1,53.0,90.0,53.0,53.0,53.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
33,20260909,2026-09-09T11:16:32.390,45.0,2.5,none,3,2026-09-09T11:16:24.173,2026-09-09T11:16:32.390,7.171,3.406,manual,90.0,1,52.0,90.0,52.0,52.0,52.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
34,20260909,2026-09-09T11:16:59.527,45.0,2.5,none,4,2026-09-09T11:16:50.053,2026-09-09T11:16:59.527,8.451,3.67,manual,90.0,1,51.0,90.0,51.0,51.0,51.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
35,20260909,2026-09-09T11:17:17.117,45.0,2.5,none,5,2026-09-09T11:17:08.445,2026-09-09T11:17:17.117,7.814,4.177,manual,90.0,1,52.0,90.0,52.0,52.0,52.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
36,20260909,2026-09-09T11:21:29.783,135.0,1.25,none,1,2026-09-09T11:21:21.111,2026-09-09T11:21:29.783,7.67,3.414,manual,90.0,1,129.0,90.0,129.0,129.0,129.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
37,20260909,2026-09-09T11:21:47.352,135.0,1.25,none,2,2026-09-09T11:21:38.980,2026-09-09T11:21:47.351,7.371,3.689,manual,90.0,1,131.0,90.0,131.0,131.0,131.0,1,,1,0,0,6,7,1.5,0.25,3,1.5,1.0
38,20260909,2026-09-09T11:22:35.604,135.0,1.25,none,3,2026-09-09T11:22:26.781,2026-09-09T11:22:35.604,7.775,3.413,manual,90.0,1,129.0,90.0,129.0,129.0,129.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
39,20260909,2026-09-09T11:22:55.891,135.0,1.25,none,4,2026-09-09T11:22:47.820,2026-09-09T11:22:55.891,7.038,3.427,manual,90.0,1,130.0,90.0,130.0,130.0,130.0,1,,1,0,0,6,7,1.5,0.25,3,1.5,1.0
40,20260909,2026-09-09T11:23:14.385,135.0,1.25,none,5,2026-09-09T11:23:05.762,2026-09-09T11:23:14.385,7.595,3.414,manual,90.0,1,129.0,90.0,129.0,129.0,129.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
41,20260909,2026-09-09T11:24:49.770,135.0,2.5,none,1,2026-09-09T11:24:40.898,2026-09-09T11:24:49.770,7.838,3.671,manual,90.0,1,129.0,90.0,129.0,129.0,129.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
42,20260909,2026-09-09T11:25:10.950,135.0,2.5,none,2,2026-09-09T11:25:02.278,2026-09-09T11:25:10.950,7.622,3.667,manual,90.0,1,128.0,90.0,128.0,128.0,128.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
43,20260909,2026-09-09T11:25:29.377,135.0,2.5,none,3,2026-09-09T11:25:20.907,2026-09-09T11:25:29.377,7.441,3.666,manual,90.0,1,128.0,90.0,128.0,128.0,128.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
44,20260909,2026-09-09T11:25:46.637,135.0,2.5,none,4,2026-09-09T11:25:38.015,2026-09-09T11:25:46.637,7.79,4.179,manual,90.0,1,128.0,90.0,128.0,128.0,128.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
45,20260909,2026-09-09T11:26:09.229,135.0,2.5,none,5,2026-09-09T11:25:59.454,2026-09-09T11:26:09.229,9.435,4.686,manual,90.0,1,127.0,90.0,127.0,127.0,127.0,1,,1,0,0,6,6,1.5,0.25,3,1.5,1.0
46,20260909,2026-09-09T13:08:22.492,90.0,0.5,ambient,1,2026-09-09T13:08:13.220,2026-09-09T13:08:22.492,8.244,3.442,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,7,1,1.5,0.25,3,1.5,1.0
47,20260909,2026-09-09T13:08:44.332,90.0,0.5,ambient,2,2026-09-09T13:08:33.655,2026-09-09T13:08:44.332,9.642,5.531,manual,90.0,1,91.0,90.0,91.0,91.0,91.0,1,,1,0,0,6,3,1.5,0.25,3,1.5,1.0
48,20260909,2026-09-09T13:09:02.956,90.0,0.5,ambient,3,2026-09-09T13:08:53.832,2026-09-09T13:09:02.955,8.096,4.146,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,1.0
49,20260909,2026-09-09T13:09:19.432,90.0,0.5,ambient,4,2026-09-09T13:09:11.363,2026-09-09T13:09:19.432,7.055,3.483,manual,90.0,1,91.0,90.0,91.0,91.0,91.0,1,,1,0,0,6,3,1.5,0.25,3,1.5,1.0
50,20260909,2026-09-09T13:09:42.650,90.0,0.5,ambient,5,2026-09-09T13:09:35.631,2026-09-09T13:09:42.650,6.01,5.17,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,1.0
51,20260909,2026-09-09T13:10:30.288,90.0,1.25,ambient,1,2026-09-09T13:10:20.061,2026-09-09T13:10:30.288,9.196,4.914,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,1.0
52,20260909,2026-09-09T13:10:48.677,90.0,1.25,ambient,2,2026-09-09T13:10:38.300,2026-09-09T13:10:48.676,9.374,5.426,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,1.0
53,20260909,2026-09-09T13:11:03.962,90.0,1.25,ambient,3,2026-09-09T13:10:54.888,2026-09-09T13:11:03.962,8.033,4.658,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,1.0
54,20260909,2026-09-09T13:11:21.185,90.0,1.25,ambient,4,2026-09-09T13:11:11.660,2026-09-09T13:11:21.185,8.494,5.17,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,1.0
55,20260909,2026-09-09T13:11:40.723,90.0,1.25,ambient,5,2026-09-09T13:11:31.550,2026-09-09T13:11:40.723,8.124,4.402,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,1.0
56,20260909,2026-09-09T13:12:27.156,90.0,2.5,ambient,1,2026-09-09T13:12:17.832,2026-09-09T13:12:27.156,8.29,4.658,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,1.0
57,20260909,2026-09-09T13:12:46.259,90.0,2.5,ambient,2,2026-09-09T13:12:34.831,2026-09-09T13:12:46.259,10.424,5.535,manual,90.0,1,88.0,90.0,88.0,88.0,88.0,1,,1,0,0,6,3,1.5,0.25,3,1.5,1.0
58,20260909,2026-09-09T13:13:03.831,90.0,2.5,ambient,3,2026-09-09T13:12:53.455,2026-09-09T13:13:03.830,9.372,5.17,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,1,,1,0,0,6,1,1.5,0.25,3,1.5,1.0
