trial_id,session,timestamp,angle_true,distance_m,noise_condition,rep,playback_start_ts,settle_ts,settle_time_s,settle_from_voice_s,playback_mode,head_heading_at_start,started_at_home,doa_logged_angle,head_heading_at_doa,doa_implied_bearing,servo_target_angle,servo_first_target_angle,n_track_moves,physical_angle_measured,moved,miss,simulated,n_doa_samples,n_servo_commands,cfg_onset_skip_s,cfg_sample_interval_s,cfg_min_samples,cfg_post_move_quiet_s,cfg_offaxis_gain,cfg_sample_window_s,notes
1,production,2026-09-14T15:48:16.047,45.0,1.25,none,1,2026-09-14T15:48:10.934,2026-09-14T15:48:16.047,4.07,1.506,manual,90.0,1,40.0,90.0,40.0,40.0,40.0,2,,1,0,0,13,9,0.0,0.0375,2,0.6,production:1.0,0.6,
2,production,2026-09-14T15:48:59.419,45.0,1.25,none,2,2026-09-14T15:48:54.556,2026-09-14T15:48:59.419,3.828,1.542,manual,90.0,1,77.0,90.0,77.0,51.0,77.0,2,,1,0,0,12,9,0.0,0.0375,2,0.6,production:1.0,0.6,
3,production,2026-09-14T15:49:21.661,45.0,1.25,none,3,2026-09-14T15:49:16.747,2026-09-14T15:49:21.661,3.884,1.485,manual,90.0,1,87.0,90.0,87.0,59.0,87.0,2,,1,0,0,12,8,0.0,0.0375,2,0.6,production:1.0,0.6,
4,production,2026-09-14T15:49:41.986,45.0,1.25,none,4,2026-09-14T15:49:37.220,2026-09-14T15:49:41.986,3.72,1.538,manual,90.0,1,62.0,90.0,62.0,50.0,62.0,2,,1,0,0,12,9,0.0,0.0375,2,0.6,production:1.0,0.6,
5,production,2026-09-14T15:50:01.382,45.0,1.25,none,5,2026-09-14T15:49:54.359,2026-09-14T15:50:01.382,6.005,3.473,manual,90.0,1,57.0,90.0,57.0,46.0,57.0,4,,1,0,0,22,12,0.0,0.0375,2,0.6,production:1.0,0.6,
6,production,2026-09-14T15:51:06.447,90.0,1.25,none,1,2026-09-14T15:51:01.534,2026-09-14T15:51:06.446,3.903,1.25,manual,90.0,1,88.0,90.0,88.0,88.0,88.0,2,,1,0,0,12,4,0.0,0.0375,2,0.6,production:1.0,0.6,
7,production,2026-09-14T15:51:28.476,90.0,1.25,none,2,2026-09-14T15:51:23.713,2026-09-14T15:51:28.476,3.724,1.25,manual,90.0,1,88.0,90.0,88.0,88.0,88.0,2,,1,0,0,13,4,0.0,0.0375,2,0.6,production:1.0,0.6,
8,production,2026-09-14T15:51:49.227,90.0,1.25,none,3,2026-09-14T15:51:44.966,2026-09-14T15:51:49.227,3.223,1.138,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,2,,1,0,0,13,2,0.0,0.0375,2,0.6,production:1.0,0.6,
9,production,2026-09-14T15:52:05.597,90.0,1.25,none,4,2026-09-14T15:52:01.336,2026-09-14T15:52:05.597,3.222,1.25,manual,90.0,1,88.0,90.0,88.0,88.0,88.0,2,,1,0,0,13,4,0.0,0.0375,2,0.6,production:1.0,0.6,
10,production,2026-09-14T15:52:24.546,90.0,1.25,none,5,2026-09-14T15:52:18.027,2026-09-14T15:52:24.546,5.474,3.826,manual,90.0,1,90.0,90.0,90.0,90.0,90.0,5,,1,0,0,29,5,0.0,0.0375,2,0.6,production:1.0,0.6,
11,production,2026-09-14T15:53:30.633,135.0,1.25,none,1,2026-09-14T15:53:25.919,2026-09-14T15:53:30.633,3.71,1.746,manual,90.0,1,-241.0,90.0,-241.0,0.0,0.0,2,,1,0,0,12,13,0.0,0.0375,2,0.6,production:1.0,0.6,
12,production,2026-09-14T15:53:51.043,135.0,1.25,none,2,2026-09-14T15:53:46.479,2026-09-14T15:53:51.043,3.538,1.525,manual,90.0,1,125.0,90.0,125.0,129.0,125.0,2,,1,0,0,12,9,0.0,0.0375,2,0.6,production:1.0,0.6,
13,production,2026-09-14T15:54:11.226,135.0,1.25,none,3,2026-09-14T15:54:06.410,2026-09-14T15:54:11.226,3.792,1.422,manual,90.0,1,90.0,90.0,90.0,127.0,90.0,2,,1,0,0,12,7,0.0,0.0375,2,0.6,production:1.0,0.6,
14,production,2026-09-14T15:54:28.800,135.0,1.25,none,4,2026-09-14T15:54:24.386,2026-09-14T15:54:28.800,3.4,1.534,manual,90.0,1,116.0,90.0,116.0,131.0,116.0,2,,1,0,0,12,9,0.0,0.0375,2,0.6,production:1.0,0.6,
15,production,2026-09-14T15:54:51.491,135.0,1.25,none,5,2026-09-14T15:54:46.276,2026-09-14T15:54:51.491,4.202,1.538,manual,90.0,1,126.0,90.0,126.0,129.0,126.0,2,,1,0,0,12,9,0.0,0.0375,2,0.6,production:1.0,0.6,
