trial_id,session,configuration,script_id,mover_id,timestamp,simulated,speech_start_ts,entry_detected_ts,entry_via,modality_switch_ts,takeover_ts,exit_detected_ts,reversion_ts,threshold_crossing_ts,exit_crossing_ts,ground_truth_should_switch,switched,classification,switch_latency_s,switch_latency_source,audible_latency_s,switch_latency_est_s,entry_to_switch_ms,switch_to_takeover_ms,reverted,reversion_latency_s,reversion_latency_source,exit_detection_lag_s,output_latency_ms,detect_depth_mm,mover_speed_mms,max_in_zone,min_outside_dist_mm,n_radar_frames,zone_valid,zone_mode,door_zone,door_detected_ts,duck_ts,unduck_ts,door_to_duck_ms,duck_hold_s,should_duck,ducked,duck_correct,door_outcome,notes
1,study2,door,B,M1,2026-09-11T13:53:14.556,0,2026-09-11T13:52:53.166,,,,,,,,,N,N,TN,,,,,,,,,,,,,,1,870.6,153,1,0,Y,2026-09-11T13:52:58.046,2026-09-11T13:52:58.046,2026-09-11T13:53:05.947,0.5,7.9,N,Y,N,gone,
2,study2,door,D,M1,2026-09-11T14:06:11.290,0,2026-09-11T14:05:40.622,,,,,,,,,N,N,TN,,,,,,,,,,,,,,0,,154,1,0,Y,2026-09-11T14:05:45.945,2026-09-11T14:05:45.946,2026-09-11T14:05:52.746,0.5,6.801,Y,Y,Y,gone,
3,study2,door,F,M1,2026-09-11T14:06:46.720,0,2026-09-11T14:06:18.466,2026-09-11T14:06:23.745,door,2026-09-11T14:06:23.746,2026-09-11T14:06:23.746,2026-09-11T14:06:43.845,2026-09-11T14:06:43.846,,,Y,Y,TP,,,,,0.6,0.4,Y,,,,,,,1,,257,1,0,Y,2026-09-11T14:06:22.545,2026-09-11T14:06:22.545,2026-09-11T14:06:25.247,0.5,2.702,,Y,,entered,
4,study2,door,D,M1,2026-09-11T14:07:19.566,0,2026-09-11T14:06:57.486,,,,,,,,,N,N,TN,,,,,,,,,,,,,,0,,154,1,0,Y,2026-09-11T14:07:02.244,2026-09-11T14:07:02.245,2026-09-11T14:07:09.445,0.5,7.2,Y,Y,Y,gone,
5,study2,door,A,M1,2026-09-11T14:08:07.235,0,2026-09-11T14:07:27.509,2026-09-11T14:07:33.844,door,2026-09-11T14:07:33.845,2026-09-11T14:07:33.845,2026-09-11T14:07:53.944,2026-09-11T14:07:53.945,,,Y,Y,TP,,,,,0.6,0.4,Y,,,,,,,1,,267,1,0,Y,2026-09-11T14:07:32.346,2026-09-11T14:07:32.346,2026-09-11T14:07:35.346,0.6,3.0,,Y,,entered,
6,study2,door,B,M1,2026-09-11T14:08:31.258,0,2026-09-11T14:08:09.544,,,,,,,,,N,N,TN,,,,,,,,,,,,,,0,1374.0,153,1,0,Y,,,,,,N,N,Y,,
7,study2,door,A,M1,2026-09-11T14:09:08.984,0,2026-09-11T14:08:37.725,2026-09-11T14:08:44.244,door,2026-09-11T14:08:44.245,2026-09-11T14:08:44.245,2026-09-11T14:09:05.443,2026-09-11T14:09:05.444,,,Y,Y,TP,,,,,0.5,0.4,Y,,,,,,,1,,280,1,0,Y,2026-09-11T14:08:42.744,2026-09-11T14:08:42.744,2026-09-11T14:08:45.746,0.5,3.002,,Y,,entered,
8,study2,door,F,M1,2026-09-11T14:09:41.430,0,2026-09-11T14:09:14.896,2026-09-11T14:09:19.144,door,2026-09-11T14:09:19.144,2026-09-11T14:09:19.144,2026-09-11T14:09:38.443,2026-09-11T14:09:38.444,,,Y,Y,TP,,,,,0.6,0.4,Y,,,,,,,1,,239,1,0,Y,2026-09-11T14:09:18.143,2026-09-11T14:09:18.144,2026-09-11T14:09:20.645,0.5,2.501,,Y,,entered,
9,study2,door,B,M1,2026-09-11T14:10:07.689,0,2026-09-11T14:09:49.208,,,,,,,,,N,N,TN,,,,,,,,,,,,,,0,1317.0,154,1,0,Y,,,,,,N,N,Y,,
10,study2,door,F,M1,2026-09-11T14:10:42.566,0,2026-09-11T14:10:15.099,2026-09-11T14:10:19.845,door,2026-09-11T14:10:19.846,2026-09-11T14:10:19.847,2026-09-11T14:10:39.943,2026-09-11T14:10:39.944,,,Y,Y,TP,,,,,0.4,1.8,Y,,,,,,,1,,252,1,0,Y,2026-09-11T14:10:18.944,2026-09-11T14:10:18.945,2026-09-11T14:10:21.348,0.5,2.404,,Y,,entered,
